WigleWifi-1.4,appRelease=2.25,model=ONEPLUS A3003,release=7.1.1,device=OnePlus3T,display=ONEPLUS A3003_28_171012,board=QC_Reference_Phone,brand=OnePlus,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,
88:dc:96:1c:a2:00,zinger,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:25:37,5,-68,32.16864207,34.80625201,38,4.550999641418457,WIFI,
88:dc:96:1c:a2:00,zinger,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:25:47,5,-68,32.16970805,34.80651822,43,4.550999641418457,WIFI,
c4:6e:1f:30:2b:7c,Nomi Fix WIFI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-27 16:15:52,1,-69,32.16874461,34.8109685,26,4.550999641418457,WIFI,
e4:f4:c6:d8:e8:60,SavantS,[WPA2-PSK-CCMP][ESS],2017-10-27 16:23:34,6,-70,32.16859061,34.80017541,28,4.550999641418457,WIFI,
6a:0c:c8:1d:c8:28,Bezeq Free F026CC,[ESS],2017-10-27 16:27:41,1,-70,32.16997562,34.81102347,32,4.550999641418457,WIFI,
6a:0c:c8:1d:c8:28,Bezeq Free F026CC,[ESS],2017-10-27 16:27:51,1,-70,32.16893698,34.81061436,29,4.550999641418457,WIFI,
6a:0c:c8:1d:c8:28,Bezeq Free F026CC,[ESS],2017-10-27 16:28:02,1,-70,32.16787145,34.81013471,28,4.550999641418457,WIFI,
5a:b0:ce:33:a4:d6,Bezeq Free,[ESS],2017-10-27 16:24:07,1,-71,32.16780051,34.80267393,35,4.550999641418457,WIFI,
34:8a:ae:ff:c0:96,YamNadlan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:26:00,1,-71,32.17101312,34.80707854,48,4.550999641418457,WIFI,
18:1e:78:86:00:63,HOTFiber-2017,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:18:59,1,-72,32.16683927,34.80867405,18,4.550999641418457,WIFI,
